DATE,CIVPART
2019-01-01,63.1
2019-02-01,63.1
2019-03-01,63.1
2019-04-01,62.9
2019-05-01,62.9
2019-06-01,62.9
2019-07-01,63.1
2019-08-01,63.1
2019-09-01,63.2
2019-10-01,63.2
2019-11-01,63.2
2019-12-01,63.3
2020-01-01,63.4
2020-02-01,63.4
2020-03-01,62.7
2020-04-01,60.2
2020-05-01,60.8
2020-06-01,61.4
2020-07-01,61.5
2020-08-01,61.7
2020-09-01,61.4
2020-10-01,61.6
2020-11-01,61.5
2020-12-01,61.5
2021-01-01,61.4
2021-02-01,61.5
2021-03-01,61.5
2021-04-01,61.7
2021-05-01,61.6
2021-06-01,61.6
2021-07-01,61.7
2021-08-01,61.7
2021-09-01,61.7
2021-10-01,61.7
2021-11-01,61.9
2021-12-01,61.9
2022-01-01,62.2
2022-02-01,62.3
2022-03-01,62.4
2022-04-01,62.2
2022-05-01,62.3
2022-06-01,62.2
2022-07-01,62.1
2022-08-01,62.4
2022-09-01,62.3
2022-10-01,62.2
