DATE,AUINSA
2018-08-01,810.28
2018-09-01,775.057
2018-10-01,759.866
2018-11-01,756.156
2018-12-01,762.401
2019-01-01,747.116
2019-02-01,729.51
2019-03-01,708.103
2019-04-01,699.32
2019-05-01,691.667
2019-06-01,691.177
2019-07-01,670.882
2019-08-01,650.936
2019-09-01,644.564
2019-10-01,602.292
2019-11-01,569.609
2019-12-01,533.025
2020-01-01,525.683
2020-02-01,513.738
2020-03-01,584.718
2020-04-01,537.839
2020-05-01,457.045
2020-06-01,452.235
2020-07-01,500.86
2020-08-01,513.308
2020-09-01,506.474
2020-10-01,506.596
2020-11-01,486.996
2020-12-01,469.461
2021-01-01,441.858
2021-02-01,402.658
2021-03-01,355.317
2021-04-01,310.489
2021-05-01,251.084
2021-06-01,196.638
2021-07-01,142.953
2021-08-01,125.536
2021-09-01,82.818
2021-10-01,83.9
2021-11-01,72.871
2021-12-01,81.368
2022-01-01,69.873
2022-02-01,64.731
2022-03-01,77.675
2022-04-01,79.99
2022-05-01,83.647
2022-06-01,95.352
2022-07-01,83.999
2022-08-01,109.521
2022-09-01,115.235
